Symbol,Close Sentence,Distance
가드(농구),피아노는?,0.4277243680072833
모과나무,초새우,0.3909694739301365
모과나무,가죽나물이에요,0.39510168565803205
모과나무,아카시아꿀이요,0.3997986290143515
모과나무,월곡,0.41155117832640287
모과나무,제비추리요,0.4117533926134874
이겼어요,나왔어요,0.17862347480824803
이겼어요,다 붙었어요,0.22671113210024907
이겼어요,다 떨어졌어요,0.24597330000412998
이겼어요,카드 받았어요,0.25229593939943384
이겼어요,다 나갔어요,0.25344982481825307
점심-같이-드실래요,아 순대 1인분도 같이 주세요,0.2821696516523211
점심-같이-드실래요,아니요 먹고갈게요,0.2888651333940715
점심-같이-드실래요,떡볶이 하시게요?,0.2933439093116932
점심-같이-드실래요,테이크아웃 할게요,0.29380667628667734
점심-같이-드실래요,테이크아웃 할게요,0.2938067294114223
눈,남자,0.29007272280462515
눈,남자,0.2900727389151969
눈,남자,0.29007276066719867
눈,경운,0.2959614023451145
눈,경운,0.29596143171862155
공놀이,전자피아노,0.26783444159045
공놀이,포켓볼이요,0.2840684457320046
공놀이,포켓볼 칠게요,0.2932599191364367
공놀이,포켓볼 할 건데요,0.30152340156914215
공놀이,제비추리요,0.3123971156195844
여기반찬더주세요,햄버거세트주세요,0.21417351670918694
여기반찬더주세요,여기 메뉴판좀 주세요,0.22706067266121788
여기반찬더주세요,여기 초밥나왔습니다,0.22846221164911895
여기반찬더주세요,고기반찬 추천해주세요,0.2415247097192288
여기반찬더주세요,사이다주시고 피클 빼주세요,0.24235658553865136
변비,곡물,0.2744354895375638
변비,이거 알러지,0.29483945362075614
변비,생리통이요,0.33617662615620136
변비,여깄습니다,0.3602073445536442
변비,여깄습니다,0.3602073445536442
의자왕,대실이요,0.26636697789503416
의자왕,대실이요,0.26636697789503416
의자왕,대실이요,0.26636698127319824
의자왕,중삼이요,0.2726559307146862
의자왕,투룸이요,0.2851785043937819
서점,화원,0.2431080512049002
서점,경운,0.2657053708393351
서점,경운,0.2657053882696099
서점,남자,0.27147990478569084
서점,남자,0.271479932645702
유튜버,남자애,0.31404268598391605
유튜버,레전드 리엑트요,0.3257435132458093
유튜버,인크레더블이요,0.33388467742469363
유튜버,피어싱이요 ,0.33498117839598207
유튜버,모직바지예,0.3354389141876697
에스프레소,아메리카노요,0.21814106279432544
에스프레소,아이스 아메리카노요,0.2303764831676367
